Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Belgian White,4.2,4.3,4.4,4.2,,"Belgian, White Ale",Lighthouse Brewery,Spicy and delicious,Not for the faint of beer,"A big and delicious, spicy Belgian White Ale",7.5%,,650,2012-Aug-23,dustansept,"7.0% - 7.9%, ABV, Belgian, Brewery Regions, Lighthouse Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries, Wheat Beer","lighthouse brewery, wheat, white ale","The first thing to note here is the bottle. This stands out in a croud with uniquness and a fantastic design. Once tasting, a citrus wheat aroma with a touch of clove and coriander touches the nose on this Belgian White as you look through the clear, golden ale. The flavour mirrors the smell quite nicely with a crisp start that settles into a wheat flavoured middle and a combination of coriander, clove and citrus in the finish. The end of this beer leaves the tongue with a touch of an alcohol taste along with orange-peel like bitterness. Strong, crisp and flavourful The Lighthouse Belgian White may be a little left of center for some but if you like wheat beer and are open to a stronger than average ale then this could be your next favorite. Get it now though as this is a summer seasonal.",http://beermebc.com/2012/08/23/lighthouse-brewery-belgian-white/
Heather Ale,4.0,4.0,4.3,4.1,,Heather Ale,Saltspring Island Ales,"Great, unique and still traditional flavour",Hard to find,Delicious throwback to a traditional brewing style,5%,,650,2012-Aug-14,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Heather Ale, Saltspring Island Ales, Top BC Beers, Types Of Beer, Vancouver Island Breweries","gulf islands, heather ale, saltspring island","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2012/08/14/saltspring-island-ales-heather-ale/
Old Boy Classic Ale,3.7,4.1,4.2,4.0,,"Brown Ale, Classic Ale",Parallel 49 Brewing,Great dark flavour without the weight of a heavy beer,Toffee and Chocolate flavours are quite strong,"Nice, balanced mid-dark beer",5%,,6,2012-Aug-05,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Classic Ale, Greater Vancouver Breweries, Parallel 49 Brewing Co., Top BC Beers, Types Of Beer","classic ale, parallel 49","The Old Boy Ale is smooth with a of chocolate and toffee base. This beer is dark, but not too dark, sweet, but not too sweet and creamy but not too creamy. Ringing the bell of tradition on this one the Old Boy is a great drinker for someone who wants a dark, flavourful beer but doesn t want the weight of a porter or a stout. Lightly hopped with a great malt finish this beer is a very enjoyable and comes from the newest brewery in BC (for now).",http://beermebc.com/2012/08/05/parallel-49-brewing-old-boy-classic-ale/
Cascadian Dark Ale,3.7,4.1,4.2,4.0,,Dark Ale,Granville Island Brewery,Great balance of dark flavour and hops,Limited release beer,A great example of the emerging CDA style,6%,,650,2012-Aug-04,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Dark Ale, Granville Island Brewing Co., Greater Vancouver Breweries, Top BC Beers, Types Of Beer","dark ale, granville island brewery",Whenever Granville Island Brewing decides to do a limited release it seems to end up being really good. If only some of the every-day be layers and complexity? The Cascadian Dark has a great balance of Hop (40IBU) and chocolate-nuttyness while remaining both smooth and light. That sounds impossible but a maltyness seems to level these contrasting ideas. This beer finishes with a dark and bitter aftertaste at the back of the tongue. Overall this is a great tasting beer. Get it while it lasts as the GIB limited releases are generally hard to find and disappear very quickly.,http://beermebc.com/2012/08/04/granville-island-brewery-cascadian-dark-ale/
Deckhand Belgian Saison,4.0,4.0,3.9,4.2,,Saison,Lighthouse Brewery,"Big, balanced Saison flavour",Bigger than you may expect,Big and delicious Belgian Saison,6.5%,,650,2012-Jul-05,dustansept,"6.0% - 6.9%, ABV, Belgian, Brewery Regions, Lighthouse Brewing Co., Saison, Top BC Beers, Types Of Beer, Vancouver Island Breweries","belgian, lighthouse brewery, strong beer","The Deckhand Belgium is A Golden bottle of flavour. Coming from the Lighthouse Big Flavour Series of beers this is strong, citrus and delicious. With a Wheaty, unfiltered front this beer isn t as in-your-face as you may guess. The wheat nature is subdued with a great malt profile and a touch of citrus notes. A mild hop finish helps to leave the palate neutral and ready for more. Overall this is one of the better Belgian style beers to come out of BC.",http://beermebc.com/2012/07/05/lighthouse-brewery-deckhand-belgian-saison-strong-beer/
Total Eclipse of the Hop Imperial IPA,4.2,4.5,4.7,4.3,,Imperial India Pale Ale,Howe Sound Brewery,"Balanced, big hop flavour with strong pineapple tones",Does not taste like 92 IBU,"A big, strong, fruity and hugely delicious Imperial IPA",8%,92,1000,2012-Jul-02,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Double/Imperial IPA, Greater Vancouver Breweries, Howe Sound Brewing Co., IPA, Top BC Beers, Types Of Beer","howe sound, imperial ipa, ipa, strong ale","The Total Eclipse of the Hop is a big 92 IBU Imperial IPA but it comes off a bit lighter than you may expect. The beer pours an amber-orange colour with a single finger of lacing head. A very fruity aroma of grapefruit, mango, and pineapple comes from the beer with a light boozy kick to it. The body is big and so is the flavour. A strong fruit-filled flavour starts things off with strong pineapple tones that take charge. With this comes a bit of a sweetness that leads into a fairly bitter finish. The boozyness is relatively masked by the high ibus and big hop flavour but this is a big beer. If you choose not to store the resealable bottle for another night it may just catch up with you. Either way it is worth it as the flavour is fantastic!",http://beermebc.com/2012/07/02/howe-sound-brewery-total-eclipse-of-the-hop-imperial-ipa/
Imperial IPA for Autism (archived),,,,,,Imperial India Pale Ale,Central City Brewery,,,,9.5%,,650,2012-Jul-01,dustansept,"9.0% - 9.9%, ABV, Archived, Brewery Regions, Central City Brewers & Distillers, Double/Imperial IPA, Greater Vancouver Breweries, IPA, Top BC Beers","best of bc, central city, imperial ipa, ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2012/07/01/central-city-brewery-imperial-ipa/
Switchback IPA,3.9,4.4,4.2,4.1,,India Pale Ale,Lighthouse Brewing Co.,Smooth and strong hop flavour,Too hoppy for the faint at heart,"A well hopped, delicious West Coast IPA",6.5%,,6,2012-Jun-21,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, IPA, Lighthouse Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","ipa, lighthouse brewery","Mountain bikers like beer and Lighthouse has played off that theme for the Switchback IPA. With a strong 80-count IBU rating this Pacific Northwest style IPA has a strong flavour with a touch of pine in the after-notes. While the IBU rating is sky-high, the taste is great and the beer goes down quite smooth. This is not for the beer-naive but can be easily appreciated by someone open to a stronger and more bitter-tasting beer. If you like beer and are adventurous when it comes to hop   give it a try, you will like this one!",http://beermebc.com/2012/06/21/lighthouse-brewing-co-switchback-ipa/
Down Easy Pale Ale,3.9,4.0,4.2,4.1,,Pale Ale,Hoyne Brewing Co.,"Great tasting, refreshing Pale Ale",Not terribly unique,"Delicious Pale Ale that goes ""down easy""",5.2%,,650,2012-Jun-18,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Hoyne Brewing Co., Pale Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries","hoyne brewing co, pale ale, victoria","Born and brewed out of Victoria BC The Hoyne Brewing Co. Down Easy Pale Ale is a great tasting, mid-hopped beer. It is extremely smooth with the slightest touch of sweetness. The hop does not hide behind any masking flavours but remains neutral and easy to drink. This combination of flavour and depth leaves enough room to enjoy the malted undertones masked behind a lightly bittered front. This beer is refreshing, easy to drink and tastes great. The only bad aspect to this beer is its availability. While you can custom order it through any BCL, it is likely not on a shelf anywhere close by.",http://beermebc.com/2012/06/18/hoyne-brewing-co-down-easy-pale-ale/
Craft Pale Ale,3.8,4.0,4.2,4.0,,Pale Ale,Red Racer Beer,Quality and delicious Pale Ale,Fairly hoppy for the style,Big and flavourful Pale Ale,5%,,355,2012-Jun-06,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Central City Brewers & Distillers, Pale Ale, Top BC Beers","central city, pale ale, red racer",The Red Racer Pale Ale is hoppier than you may expect for a Pale. The hop is followed with a light sweetness that comes through in a slightly nutty fashion and a touch of sweetness. This is a great tasting beer that has just the right flavour combination.,http://beermebc.com/2012/06/06/red-racer-craft-pale-ale/
Red Racer IPA,4.0,3.8,4.2,4.1,,India Pale Ale,Central City Brewers & Distillers,Well Hopped IPA,Quite hoppy,A well balanced and delicious IPA,6.5%,,355,2012-Jun-01,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Central City Brewers & Distillers, Greater Vancouver Breweries, IPA, Top BC Beers","central city, ipa, red racer","The Red Racer IPA is packed full or hop. At an 80+ IBU this is strong, flavourful and will put a bit of hair on your chest. One of the stronger and in my opinion better IPA s available in BC. This is an excellent choice for the beer drinker that doesn t jump when it comes to hop and can appreciate the layers in an excellent IPA.",http://beermebc.com/2012/06/01/central-city-brewery-red-racer-ipa/
Hermann s Dark Lager,3.9,4.0,4.3,3.9,,Dark Lager,Vancouver Island Brewery,"Great, dark lager flavour",Rather dark and rich,A big dark lager with great flavour,5%,,341,2012-May-19,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Dark lager, Lager, Top BC Beers, Vancouver Island Breweries, Vancouver Island Brewery","dark lager, vancouver island brewery","The Vancouver Island Brewery Hermann s Dark Lager is a refreshing change. While a dark lager is not typically refreshing, the taste here is remarkably so. The Herman s Dark Lager has won several awards and rightfully so. WIth a dark chestnut colour and a deep malt flavour this is a great rendition of a Dark Lager with a very high drink-ability factor..",http://beermebc.com/2012/05/19/vancouver-island-brewery-hermanns-dark-lager/
Fat Tug IPA,4.6,4.5,4.9,4.5,,India Pale Ale,Driftwood Brewing Co.,Hoppy and extremely delicious with wonderful tropical fruit tones,Quite a big IPA,"A big, bold, smooth and extremely delicious BC favourite beer",7%,,650,2012-May-19,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Driftwood Brewing Co., IPA, Top BC Beers, Types Of Beer, Vancouver Island Breweries","best in bc, driftwood, driftwood brewery, ipa","The Fat Tug is a northwest style India Pale Ale with a hop count greater than that of the Easter Bunny. As a longstanding staple and favourite in the extensive list of BC craft beers this beer wears many crowns and has earned a reputation as being a top contender for IPAs in BC and around the world. The Fat Tug  pours a fairly dark amber colour with a finger and a half or so of head. Hitting the tongue the taste is rather hoppy with a fruity, floral undertone. While it is hard to pick out the individual sources of this floral taste,  Driftwood calls on grapefruit, mango  melon and passion fruit as the tones that come to mind. This fruitiness accompanies the intense, piney hop flavour into a well-balanced and tasty IPA. Given that this beer is rated at an 80IBU with some out-of-the-ordinary fruit flavours the taste is surprisingly smooth and mellow. Don t get me wrong, this is powerful and hoppy but goes down easier than you may expect. The flavours come together into a well-balanced, smooth and very enjoyable beer. This is definitely a Best In BC beer.",http://beermebc.com/2012/05/19/driftwood-brewing-fat-tug-ipa/
